iter	Passed	Remaining
403	9943	2362
404	9965	2337
405	9989	2312
406	10012	2287
407	10035	2262
408	10059	2238
409	10082	2213
410	10107	2188
411	10132	2164
412	10156	2139
413	10180	2114
414	10204	2090
415	10229	2065
416	10252	2040
417	10276	2016
418	10299	1991
419	10322	1966
420	10345	1941
421	10370	1916
422	10398	1892
423	10428	1869
424	10459	1845
425	10487	1821
426	10515	1797
427	10544	1773
428	10573	1749
429	10605	1726
430	10645	1704
431	10670	1679
432	10693	1654
433	10716	1629
434	10740	1604
435	10764	1580
436	10786	1555
437	10809	1530
438	10832	1505
439	10858	1480
440	10887	1456
441	10916	1432
442	10945	1408
443	10973	1384
444	11000	1359
445	11027	1335
446	11053	1310
447	11102	1288
448	11127	1263
449	11153	1239
450	11179	1214
451	11204	1189
452	11229	1165
453	11253	1140
454	11278	1115
455	11301	1090
456	11328	1065
457	11352	1041
458	11377	1016
459	11402	991
460	11427	966
461	11453	942
462	11479	917
463	11502	892
464	11527	867
465	11552	842
466	11576	818
467	11602	793
468	11626	768
469	11651	743
470	11676	718
471	11701	694
472	11725	669
473	11752	644
474	11777	619
475	11803	595
476	11832	570
477	11863	546
478	11891	521
479	11919	496
480	11948	471
481	11977	447
482	12005	422
483	12032	397
484	12061	373
485	12089	348
486	12115	323
487	12140	298
488	12165	273
489	12190	248
490	12215	223
491	12243	199
492	12270	174
493	12298	149
494	12326	124
495	12354	99
496	12381	74
497	12408	49
498	12433	24
499	12459	0
